nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
         1,-3.200000048E+00,-4.000000060E-01, 1.249999968E-01, 1.296950196E-01, 0.000000000E+00, 0.000000000E+00, 2.281036054E+00
         2,-3.153956882E+00,-4.000000060E-01, 1.249999968E-01, 1.293138341E-01, 2.490904304E-03, 0.000000000E+00, 2.281960005E+00
         3,-3.107913715E+00,-4.000000060E-01, 1.249999968E-01, 1.285798144E-01, 3.354817970E-03, 0.000000000E+00, 2.283103945E+00
         4,-3.061870549E+00,-4.000000060E-01, 1.249999968E-01, 1.278990941E-01, 3.888024812E-03, 0.000000000E+00, 2.283989659E+00
         5,-3.015827383E+00,-4.000000060E-01, 1.249999968E-01, 1.272678210E-01, 4.128104755E-03, 0.000000000E+00, 2.284687158E+00
         6,-2.969784217E+00,-4.000000060E-01, 1.249999968E-01, 1.266866266E-01, 4.152173447E-03, 0.000000000E+00, 2.285205581E+00
         7,-2.923741051E+00,-4.000000060E-01, 1.249999968E-01, 1.261569697E-01, 4.044783606E-03, 0.000000000E+00, 2.285514149E+00
         8,-2.877697885E+00,-4.000000060E-01, 1.249999968E-01, 1.256795114E-01, 3.870214052E-03, 0.000000000E+00, 2.285644567E+00
         9,-2.831654718E+00,-4.000000060E-01, 1.249999968E-01, 1.252547334E-01, 3.663546724E-03, 0.000000000E+00, 2.285631088E+00
        10,-2.785611552E+00,-4.000000060E-01, 1.249999968E-01, 1.248826917E-01, 3.446096355E-03, 0.000000000E+00, 2.285496930E+00
        11,-2.739568386E+00,-4.000000060E-01, 1.249999968E-01, 1.245627611E-01, 3.230474772E-03, 0.000000000E+00, 2.285263681E+00
        12,-2.693525220E+00,-4.000000060E-01, 1.249999968E-01, 1.242936534E-01, 3.023005694E-03, 0.000000000E+00, 2.284950247E+00
        13,-2.647482054E+00,-4.000000060E-01, 1.249999968E-01, 1.240734595E-01, 2.826569769E-03, 0.000000000E+00, 2.284571606E+00
        14,-2.601438888E+00,-4.000000060E-01, 1.249999968E-01, 1.238996983E-01, 2.642492879E-03, 0.000000000E+00, 2.284140407E+00
        15,-2.555395722E+00,-4.000000060E-01, 1.249999968E-01, 1.237693978E-01, 2.471157870E-03, 0.000000000E+00, 2.283667909E+00
        16,-2.509352555E+00,-4.000000060E-01, 1.249999968E-01, 1.236792062E-01, 2.312380200E-03, 0.000000000E+00, 2.283164150E+00
        17,-2.463309389E+00,-4.000000060E-01, 1.249999968E-01, 1.236255012E-01, 2.165755759E-03, 0.000000000E+00, 2.282638093E+00
        18,-2.417266223E+00,-4.000000060E-01, 1.249999968E-01, 1.236045122E-01, 2.030597177E-03, 0.000000000E+00, 2.282097649E+00
        19,-2.371223057E+00,-4.000000060E-01, 1.249999968E-01, 1.236124269E-01, 1.906126944E-03, 0.000000000E+00, 2.281549994E+00
        20,-2.325179891E+00,-4.000000060E-01, 1.249999968E-01, 1.236454776E-01, 1.791718336E-03, 0.000000000E+00, 2.281001795E+00
        21,-2.279136725E+00,-4.000000060E-01, 1.249999968E-01, 1.237000238E-01, 1.686856445E-03, 0.000000000E+00, 2.280458963E+00
        22,-2.233093558E+00,-4.000000060E-01, 1.249999968E-01, 1.237726181E-01, 1.590968330E-03, 0.000000000E+00, 2.279926575E+00
        23,-2.187050392E+00,-4.000000060E-01, 1.249999968E-01, 1.238600498E-01, 1.503348607E-03, 0.000000000E+00, 2.279409158E+00
        24,-2.141007226E+00,-4.000000060E-01, 1.249999968E-01, 1.239593764E-01, 1.423359519E-03, 0.000000000E+00, 2.278910646E+00
        25,-2.094964060E+00,-4.000000060E-01, 1.249999968E-01, 1.240679476E-01, 1.350467635E-03, 0.000000000E+00, 2.278434294E+00
        26,-2.048920894E+00,-4.000000060E-01, 1.249999968E-01, 1.241834093E-01, 1.284160585E-03, 0.000000000E+00, 2.277982767E+00
        27,-2.002877728E+00,-4.000000060E-01, 1.249999968E-01, 1.243036987E-01, 1.224035184E-03, 0.000000000E+00, 2.277558189E+00
        28,-1.956834562E+00,-4.000000060E-01, 1.249999968E-01, 1.244270355E-01, 1.169604453E-03, 0.000000000E+00, 2.277162226E+00
        29,-1.910791395E+00,-4.000000060E-01, 1.249999968E-01, 1.245519108E-01, 1.120303034E-03, 0.000000000E+00, 2.276796038E+00
        30,-1.864748229E+00,-4.000000060E-01, 1.249999968E-01, 1.246770634E-01, 1.075723360E-03, 0.000000000E+00, 2.276460323E+00
        31,-1.818705063E+00,-4.000000060E-01, 1.249999968E-01, 1.248014559E-01, 1.035559746E-03, 0.000000000E+00, 2.276155584E+00
        32,-1.772661897E+00,-4.000000060E-01, 1.249999968E-01, 1.249242579E-01, 9.994331280E-04, 0.000000000E+00, 2.275882157E+00
        33,-1.726618731E+00,-4.000000060E-01, 1.249999968E-01, 1.250448235E-01, 9.669684186E-04, 0.000000000E+00, 2.275639796E+00
        34,-1.680575565E+00,-4.000000060E-01, 1.249999968E-01, 1.251626715E-01, 9.377487763E-04, 0.000000000E+00, 2.275427881E+00
        35,-1.634532398E+00,-4.000000060E-01, 1.249999968E-01, 1.252774635E-01, 9.114785412E-04, 0.000000000E+00, 2.275245779E+00
        36,-1.588489232E+00,-4.000000060E-01, 1.249999968E-01, 1.253889761E-01, 8.880724402E-04, 0.000000000E+00, 2.275092709E+00
        37,-1.542446066E+00,-4.000000060E-01, 1.249999968E-01, 1.254970812E-01, 8.672023789E-04, 0.000000000E+00, 2.274967865E+00
        38,-1.496402900E+00,-4.000000060E-01, 1.249999968E-01, 1.256017346E-01, 8.485454837E-04, 0.000000000E+00, 2.274870386E+00
        39,-1.450359734E+00,-4.000000060E-01, 1.249999968E-01, 1.257029791E-01, 8.317998235E-04, 0.000000000E+00, 2.274799058E+00
        40,-1.404316568E+00,-4.000000060E-01, 1.249999968E-01, 1.258009135E-01, 8.173027883E-04, 0.000000000E+00, 2.274752729E+00
        41,-1.358273402E+00,-4.000000060E-01, 1.249999968E-01, 1.258956636E-01, 8.050738351E-04, 0.000000000E+00, 2.274730490E+00
        42,-1.312230235E+00,-4.000000060E-01, 1.249999968E-01, 1.259874006E-01, 7.944097309E-04, 0.000000000E+00, 2.274731374E+00
        43,-1.266187069E+00,-4.000000060E-01, 1.249999968E-01, 1.260763349E-01, 7.848788767E-04, 0.000000000E+00, 2.274754095E+00
        44,-1.220143903E+00,-4.000000060E-01, 1.249999968E-01, 1.261626958E-01, 7.769515257E-04, 0.000000000E+00, 2.274797311E+00
        45,-1.174100737E+00,-4.000000060E-01, 1.249999968E-01, 1.262467168E-01, 7.709439660E-04, 0.000000000E+00, 2.274860349E+00
        46,-1.128057571E+00,-4.000000060E-01, 1.249999968E-01, 1.263286424E-01, 7.664646127E-04, 0.000000000E+00, 2.274942651E+00
        47,-1.082014405E+00,-4.000000060E-01, 1.249999968E-01, 1.264087229E-01, 7.637139839E-04, 0.000000000E+00, 2.275043446E+00
        48,-1.035971238E+00,-4.000000060E-01, 1.249999968E-01, 1.264872104E-01, 7.629010268E-04, 0.000000000E+00, 2.275162312E+00
        49,-9.899280723E-01,-4.000000060E-01, 1.249999968E-01, 1.265643611E-01, 7.644455978E-04, 0.000000000E+00, 2.275299259E+00
        50,-9.438849062E-01,-4.000000060E-01, 1.249999968E-01, 1.266404249E-01, 7.690718848E-04, 0.000000000E+00, 2.275454726E+00
        51,-8.978417400E-01,-4.000000060E-01, 1.249999968E-01, 1.267156472E-01, 7.776352263E-04, 0.000000000E+00, 2.275629833E+00
        52,-8.517985738E-01,-4.000000060E-01, 1.249999968E-01, 1.267902667E-01, 7.914144716E-04, 0.000000000E+00, 2.275826831E+00
        53,-8.057554077E-01,-4.000000060E-01, 1.249999968E-01, 1.268645163E-01, 8.120092719E-04, 0.000000000E+00, 2.276049332E+00
        54,-7.597122415E-01,-4.000000060E-01, 1.249999968E-01, 1.269386180E-01, 8.417071146E-04, 0.000000000E+00, 2.276302806E+00
        55,-7.136690754E-01,-4.000000060E-01, 1.249999968E-01, 1.270127814E-01, 8.837428279E-04, 0.000000000E+00, 2.276596127E+00
        56,-6.676259092E-01,-4.000000060E-01, 1.249999968E-01, 1.270871865E-01, 9.421705632E-04, 0.000000000E+00, 2.276942116E+00
        57,-6.215827431E-01,-4.000000060E-01, 1.249999968E-01, 1.271619684E-01, 1.022031814E-03, 0.000000000E+00, 2.277360098E+00
        58,-5.755395769E-01,-4.000000060E-01, 1.249999968E-01, 1.272372113E-01, 1.129563317E-03, 0.000000000E+00, 2.277878489E+00
        59,-5.294964108E-01,-4.000000060E-01, 1.249999968E-01, 1.273128914E-01, 1.272167746E-03, 0.000000000E+00, 2.278537206E+00
        60,-4.834532446E-01,-4.000000060E-01, 1.249999968E-01, 1.273888025E-01, 1.458442452E-03, 0.000000000E+00, 2.279393777E+00
        61,-4.374100785E-01,-4.000000060E-01, 1.249999968E-01, 1.274644607E-01, 1.697430476E-03, 0.000000000E+00, 2.280529701E+00
        62,-3.913669123E-01,-4.000000060E-01, 1.249999968E-01, 1.275389809E-01, 1.997229742E-03, 0.000000000E+00, 2.282057504E+00
        63,-3.453237462E-01,-4.000000060E-01, 1.249999968E-01, 1.276109569E-01, 2.363106084E-03, 0.000000000E+00, 2.284126824E+00
        64,-2.992805800E-01,-4.000000060E-01, 1.249999968E-01, 1.276783818E-01, 2.794636343E-03, 0.000000000E+00, 2.286925623E+00
        65,-2.532374138E-01,-4.000000060E-01, 1.249999968E-01, 1.277387049E-01, 3.282672149E-03, 0.000000000E+00, 2.290670812E+00
        66,-2.071942477E-01,-4.000000060E-01, 1.249999968E-01, 1.277891131E-01, 3.805848870E-03, 0.000000000E+00, 2.295580825E+00
        67,-1.611510815E-01,-4.000000060E-01, 1.249999968E-01, 1.278270540E-01, 4.328781140E-03, 0.000000000E+00, 2.301825621E+00
        68,-1.151079154E-01,-4.000000060E-01, 1.249999968E-01, 1.278509547E-01, 4.804522813E-03, 0.000000000E+00, 2.309460289E+00
        69,-6.906474923E-02,-4.000000060E-01, 1.249999968E-01, 1.278609240E-01, 5.181143066E-03, 0.000000000E+00, 2.318359901E+00
        70,-2.302158308E-02,-4.000000060E-01, 1.249999968E-01, 1.278591398E-01, 5.408291808E-03, 0.000000000E+00, 2.328181533E+00
