nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
         1,-3.200000048E+00,-8.326672685E-17, 0.000000000E+00, 1.782277209E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-3.153956882E+00,-8.266768565E-17, 0.000000000E+00, 1.758160082E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         3,-3.107913715E+00,-8.206864445E-17, 0.000000000E+00, 1.725145383E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         4,-3.061870549E+00,-8.146960325E-17, 0.000000000E+00, 1.710130312E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5,-3.015827383E+00,-8.087056205E-17, 0.000000000E+00, 1.699385115E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6,-2.969784217E+00,-2.476036961E-17, 0.000000000E+00, 1.691279737E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         7,-2.923741051E+00,-7.967247964E-17, 0.000000000E+00, 1.685288877E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8,-2.877697885E+00,-7.907343844E-17, 0.000000000E+00, 1.680964119E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         9,-2.831654718E+00,-7.847439724E-17, 0.000000000E+00, 1.677812093E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        10,-2.785611552E+00,-7.787535604E-17, 0.000000000E+00, 1.675437989E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11,-2.739568386E+00,-7.727631484E-17, 0.000000000E+00, 1.673567485E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12,-2.693525220E+00,-7.667727364E-17, 0.000000000E+00, 1.672022177E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        13,-2.647482054E+00,-7.607823244E-17, 0.000000000E+00, 1.670692611E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14,-2.601438888E+00,-7.547919124E-17, 0.000000000E+00, 1.669512713E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        15,-2.555395722E+00,-7.488015004E-17, 0.000000000E+00, 1.668442751E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        16,-2.509352555E+00,-7.428110884E-17, 0.000000000E+00, 1.667459139E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17,-2.463309389E+00,-7.368206764E-17, 0.000000000E+00, 1.666547357E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
