nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
         1,-4.499999921E-01,-4.000000149E-01, 1.249999996E-01, 1.274437758E-01, 1.632082353E-03, 0.000000000E+00, 2.280219148E+00
         2,-3.000000054E-01,-4.000000022E-01, 1.249999956E-01, 1.276773271E-01, 2.787893622E-03, 0.000000000E+00, 2.286881870E+00
         3,-1.500000057E-01,-4.000000060E-01, 1.249999993E-01, 1.278328418E-01, 4.443999827E-03, 0.000000000E+00, 2.303674647E+00
         4,-1.300175245E-15,-4.000000060E-01, 1.249999968E-01, 1.278544235E-01, 5.429357699E-03, 0.000000000E+00, 2.333280612E+00
         5, 1.500000041E-01,-4.000000030E-01, 1.249999959E-01, 1.278241761E-01, 4.608094979E-03, 0.000000000E+00, 2.363124710E+00
         6, 3.000000054E-01,-4.000000022E-01, 1.249999956E-01, 1.278515229E-01, 2.762200912E-03, 0.000000000E+00, 2.378768951E+00
         7, 4.499999921E-01,-4.000000149E-01, 1.249999996E-01, 1.279493283E-01, 1.341436339E-03, 0.000000000E+00, 2.381588589E+00
         8, 6.000000172E-01,-4.000000060E-01, 1.249999968E-01, 1.280948228E-01, 7.083032323E-04, 0.000000000E+00, 2.378844432E+00
         9, 7.500000194E-01,-4.000000060E-01, 1.249999965E-01, 1.282724227E-01, 5.935362744E-04, 0.000000000E+00, 2.374767511E+00
        10, 8.999999860E-01,-4.000000153E-01, 1.249999995E-01, 1.284744349E-01, 6.959807114E-04, 0.000000000E+00, 2.371125167E+00
        11, 1.049999886E+00,-3.999999970E-01, 1.249999940E-01, 1.286987429E-01, 8.462239958E-04, 0.000000000E+00, 2.368350943E+00
        12, 1.200000032E+00,-4.000000060E-01, 1.249999968E-01, 1.289447117E-01, 9.774748099E-04, 0.000000000E+00, 2.366328038E+00
        13, 1.350000032E+00,-4.000000045E-01, 1.249999961E-01, 1.292127281E-01, 1.075474846E-03, 0.000000000E+00, 2.364852372E+00
        14, 1.499999971E+00,-3.999999873E-01, 1.249999909E-01, 1.295035725E-01, 1.146455073E-03, 0.000000000E+00, 2.363754251E+00
        15, 1.649999926E+00,-4.000000060E-01, 1.249999968E-01, 1.298182977E-01, 1.194120767E-03, 0.000000000E+00, 2.362912662E+00
        16, 1.799999931E+00,-4.000000060E-01, 1.249999968E-01, 1.301575216E-01, 1.223030502E-03, 0.000000000E+00, 2.362238219E+00
