nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
         1,-4.499999820E-01,-4.000000060E-01, 0.000000000E+00, 1.653130714E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-3.000000072E-01,-4.000000060E-01, 0.000000000E+00, 1.658051589E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         3,-1.500000033E-01,-4.000000000E-01, 0.000000000E+00, 1.671744058E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         4, 9.436895709E-16,-4.000000060E-01, 0.000000000E+00, 1.692161379E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.500000033E-01,-4.000000000E-01, 0.000000000E+00, 1.704193825E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 3.000000072E-01,-4.000000060E-01, 0.000000000E+00, 1.701526676E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         7, 4.499999820E-01,-4.000000060E-01, 0.000000000E+00, 1.694002878E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 5.999999973E-01,-3.999999940E-01, 0.000000000E+00, 1.687930262E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         9, 7.500000434E-01,-4.000000179E-01, 0.000000000E+00, 1.683847497E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        10, 8.999999640E-01,-4.000000060E-01, 0.000000000E+00, 1.681169573E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.049999909E+00,-4.000000060E-01, 0.000000000E+00, 1.679396698E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.200000069E+00,-4.000000179E-01, 0.000000000E+00, 1.678116463E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        13, 1.350000037E+00,-4.000000060E-01, 0.000000000E+00, 1.677206064E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.500000042E+00,-4.000000060E-01, 0.000000000E+00, 1.676712525E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        15, 1.649999926E+00,-4.000000060E-01, 0.000000000E+00, 1.676259363E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        16, 1.799999875E+00,-3.999999940E-01, 0.000000000E+00, 1.675933878E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.950000054E+00,-4.000000060E-01, 0.000000000E+00, 1.675722594E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 2.099999954E+00,-4.000000089E-01, 0.000000000E+00, 1.675618795E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        19, 2.250000061E+00,-4.000000060E-01, 0.000000000E+00, 1.675606999E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        20,-4.499999820E-01,-3.818181875E-01, 0.000000000E+00, 1.653061220E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        21,-3.000000072E-01,-3.818181875E-01, 0.000000000E+00, 1.657845365E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        22,-1.500000033E-01,-3.818181818E-01, 0.000000000E+00, 1.671452917E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        23, 9.194034423E-16,-3.818181875E-01, 0.000000000E+00, 1.691946209E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        24, 1.500000033E-01,-3.818181818E-01, 0.000000000E+00, 1.704124606E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        25, 3.000000072E-01,-3.818181875E-01, 0.000000000E+00, 1.701528528E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        26, 4.499999820E-01,-3.818181875E-01, 0.000000000E+00, 1.694026656E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
