nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
         1,-4.499999820E-01,-4.748805483E-17, 0.000000000E+00, 1.645648566E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         2,-3.000000143E-01,-4.553649223E-17, 0.000000000E+00, 1.632914813E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         3,-1.500000050E-01,-4.358492737E-17, 0.000000000E+00, 1.609689203E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         4,-3.608224830E-16,-4.163336342E-17, 0.000000000E+00, 1.829769271E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         5, 1.500000033E-01,-3.968179888E-17, 0.000000000E+00, 1.874847651E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         6, 3.000000143E-01,-3.816391942E-17, 0.000000000E+00, 1.741392411E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         7, 4.499999820E-01,-3.577867201E-17, 0.000000000E+00, 1.671807510E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         8, 6.000000172E-01,-3.382710767E-17, 0.000000000E+00, 1.626611756E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
         9, 7.500000194E-01,-3.773023053E-17, 0.000000000E+00, 1.607062518E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        10, 8.999999851E-01,-5.637854405E-17, 0.000000000E+00, 1.602301213E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        11, 1.049999879E+00,-2.797241659E-17, 0.000000000E+00, 1.602838736E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        12, 1.200000032E+00,-4.163337152E-17, 0.000000000E+00, 1.604653277E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        13, 1.350000037E+00,-2.406928801E-17, 0.000000000E+00, 1.606848490E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        14, 1.500000019E+00,-2.211772375E-17, 0.000000000E+00, 1.609414715E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        15, 1.649999926E+00,-2.016616169E-17, 0.000000000E+00, 1.612128038E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        16, 1.799999931E+00,-1.821459775E-17, 0.000000000E+00, 1.614861024E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        17, 1.950000082E+00,-1.626303252E-17, 0.000000000E+00, 1.617551970E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        18, 2.099999938E+00,-1.431146989E-17, 0.000000000E+00, 1.620150485E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        19, 2.250000061E+00,-1.235990441E-17, 0.000000000E+00, 1.622638872E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        20,-4.499999820E-01,-4.759105406E-17, 2.000000000E-03, 1.653942713E-01, 5.022562020E-05,-4.669835212E-04, 9.836973981E-01
        21,-3.000000143E-01,-4.572080660E-17, 2.000000041E-03, 1.650390868E-01,-2.337184804E-05,-9.553048974E-04, 9.652216176E-01
        22,-1.500000050E-01,-4.385055691E-17, 2.000000000E-03, 1.644279763E-01,-2.165857194E-03,-2.258045698E-03, 9.279090339E-01
        23,-4.024558464E-16,-4.198030813E-17, 2.000000000E-03, 1.720925166E-01,-1.193438919E-02,-5.599468480E-03, 1.249864818E+00
        24, 1.500000033E-01,-4.011005875E-17, 1.999999970E-03, 1.751055186E-01, 4.321380541E-03,-1.043151559E-02, 1.343247130E+00
        25, 3.000000072E-01,-3.823981061E-17, 2.000000000E-03, 1.713932148E-01, 2.158582545E-03,-1.130395263E-02, 1.164814014E+00
        26, 4.499999820E-01,-3.636956221E-17, 2.000000000E-03, 1.676465536E-01, 1.828446816E-03,-1.061081594E-02, 1.053930972E+00
        27, 6.000000172E-01,-3.449931306E-17, 2.000000000E-03, 1.644923083E-01, 1.512325464E-03,-1.271752497E-02, 9.780374358E-01
        28, 7.500000194E-01,-3.262906431E-17, 2.000000000E-03, 1.635820184E-01, 1.156228304E-03,-1.665373079E-02, 9.344832446E-01
        29, 8.999999851E-01,-3.075881696E-17, 2.000000045E-03, 1.636006604E-01, 9.084406789E-04,-2.030775439E-02, 9.146672975E-01
        30, 1.049999879E+00,-2.888856738E-17, 1.999999940E-03, 1.636257621E-01, 7.137462777E-04,-2.248664153E-02, 9.084803669E-01
        31, 1.200000032E+00,-2.701831801E-17, 2.000000000E-03, 1.635349678E-01, 5.743337228E-04,-2.321018202E-02, 9.086190331E-01
        32, 1.350000037E+00,-2.514806923E-17, 2.000000000E-03, 1.634297926E-01, 4.781932191E-04,-2.286046541E-02, 9.116066002E-01
        33, 1.500000019E+00,-2.327782012E-17, 1.999999970E-03, 1.633874026E-01, 3.905884111E-04,-2.198648708E-02, 9.159289696E-01
        34, 1.649999926E+00,-2.140757318E-17, 2.000000000E-03, 1.634117953E-01, 3.357358373E-04,-2.081487550E-02, 9.206932771E-01
        35, 1.799999931E+00,-1.953732440E-17, 2.000000000E-03, 1.634931657E-01, 2.990986345E-04,-1.954124089E-02, 9.254463398E-01
